Sample Name,CT
3wk_924,Undetermined
3wk_924,35.28785324
3wk_1009,36.71324921
3wk_1009,Undetermined
3wk_1009,35.81659317
3wk_1026,35.58378983
3wk_1026,41.72528076
3wk_1026,35.40989304
3wk_914,24.66819763
3wk_914,24.3142643
3wk_914,23.8489418
3wk_929,35.01302719
3wk_929,35.23060989
3wk_929,Undetermined
3wk_1012,Undetermined
3wk_1012,Undetermined
3wk_1012,Undetermined
3wk_1027,Undetermined
3wk_1027,35.30353928
3wk_1027,37.10102081
3wk_916,Undetermined
3wk_916,Undetermined
3wk_916,Undetermined
3wk_930,Undetermined
3wk_930,Undetermined
3wk_930,Undetermined
3wk_1028,35.72844315
3wk_1028,32.78931808
3wk_917,41.19455719
3wk_917,Undetermined
3wk_917,Undetermined
3wk_1014,Undetermined
3wk_1014,36.30592728
3wk_1014,37.31323242
3wk_1046,Undetermined
3wk_1046,Undetermined
3wk_1046,Undetermined
3wk_918,Undetermined
3wk_918,35.40419388
3wk_918,34.83449936
3wk_1003,Undetermined
3wk_1003,Undetermined
3wk_1003,Undetermined
3wk_1018,25.33360481
3wk_1018,25.52128792
3wk_1018,25.38621521
3wk_1047,24.21248817
3wk_1047,Undetermined
3wk_1047,25.72854996
3wk_1048,35.56487656
3wk_1048,36.19688416
3wk_1048,33.61432266
3wk_1110,Undetermined
3wk_1110,Undetermined
3wk_1110,Undetermined
3wk_1129,Undetermined
3wk_1129,Undetermined
3wk_1129,Undetermined
3wk_1213,Undetermined
3wk_1213,38.27747726
3wk_1213,40.75347519
3wk_1050,35.58176041
3wk_1050,35.84285355
3wk_1050,Undetermined
3wk_1111,23.12060547
3wk_1111,23.30574608
3wk_1111,22.96747208
3wk_1131,29.40231705
3wk_1131,29.4129982
3wk_1131,29.53553963
3wk_1217,Undetermined
3wk_1217,Undetermined
3wk_1217,Undetermined
3wk_1101,Undetermined
3wk_1101,35.15912628
3wk_1101,Undetermined
3wk_1115,42.09374237
3wk_1115,Undetermined
3wk_1115,37.66419601
3wk_1201,38.89780045
3wk_1201,Undetermined
3wk_1201,Undetermined
3wk_1218,Undetermined
3wk_1218,Undetermined
3wk_1218,39.73072433
